hex,type,r,t,dbFlags,desc,alt_baro,alt_geom,gs,track,squawk,lat,lon,nic,rc,seen_pos,nac_p,nac_v,sil,sil_type,alert,spi,mlat,tisb,messages,seen,rssi
adfcc4,adsb_icao,93-0644,BE40,1,Beechcraft T-1A Jayhawk,28000,29125,350.9,302.78,3216,32.794562,-90.528409,8,186,0.346,10,1,3,perhour,0,0,[],[],6808694,0.1,-24.8
adfc6e,adsb_icao,90-0411,BE40,1,Beechcraft T-1A Jayhawk,850,825,234.1,316.21,7302,29.910187,-89.915807,8,186,3.294,10,1,3,perhour,0,0,[],[],2552910,0.0,-16.9
ae741f,adsb_icao,170244,A119,1,AGUSTA AW-119 Koala,575,500,54.4,212.23,1200,35.361969,-89.865532,10,25,0.28,10,2,3,perhour,0,0,[],[],680588,0.3,-24.7
ae62f3,adsb_icao,165628,HAWK,1,BRITISH AEROSPACE T-45 Goshawk,15000,15575,262.1,91.75,2054,32.399231,-89.556152,8,186,0.125,10,2,3,perhour,0,0,[],[],126527,0.1,-28.1
ae62ef,adsb_icao,165624,HAWK,1,0,11850,12200,278.4,36.09,0,33.206131,-88.62561,8,186,26.795,9,2,3,perhour,0,0,[],[],144727,26.4,-27.8
ae1126,adsb_icao,02-3651,TEX2,1,Raytheon T-6A Texan II,22975,23850,297.2,141.01,5712,34.401764,-88.360122,10,25,0.589,10,2,3,perhour,0,0,[],[],1348342,0.0,-20.7
adff05,adsb_icao,95-3003,TEX2,1,Raytheon T-6A Texan II,23075,23950,267.2,268.07,2530,34.114059,-87.978516,10,25,0.926,10,2,3,perhour,0,0,[],[],123022,0.7,-28.0
ae08bb,adsb_icao,165967,TEX2,1,Raytheon T-6B Texan II,8975,9300,255.2,102.67,2457,30.230896,-87.593348,10,25,0.242,10,2,3,perhour,0,0,[],[],5636912,0.2,-8.8
ae11c3,adsb_icao,03-3697,TEX2,1,Raytheon T-6A Texan II,22975,23800,295.8,232.28,1515,34.653214,-87.247028,10,25,0.38,10,2,3,perhour,0,0,[],[],124149,0.0,-17.2
2e1719,adsb_icao,166011,TEX2,1,0,2150,2250,260.3,169.6,0,30.821869,-87.100363,8,186,25.795,8,2,2,perhour,0,0,[],[],6403252,13.1,-22.3
ae4bef,adsb_icao,2315,CN35,1,CASA HC-144A Ocean Sentry,6725,6850,160.4,281.87,1611,30.415375,-87.030137,8,186,0.272,11,1,3,perhour,0,0,[],[],2891528,0.1,-10.5
